Abbreviation	Description	Neutral formula	Charged formula	Charge	Compartment	KEGG ID	PubChem ID	ChEBI ID	InChI String	SMILES	Notes
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H10O10P	C7H10O10P	-3	c						
C04734	5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide	C10H13N4O9P	C10H13N4O9P	-2	c						
C04751	5-Phosphoribosyl-4-carboxy-5-aminoimidazole	C9H12N3O9P	C9H12N3O9P	-2	c						
C04807	"7,8-Dihydropterin pyrophosphate"	C7H9N5O8P2	C7H9N5O8P2	-2	c						
C04823	5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole	C13H16N4O12P	C13H16N4O12P	-3	c						
C04874	Dihydroneopterin	C9H13N5O4	C9H13N5O4	0	c						
C04895	"7,8-Dihydroneopterin 3-triphosphate"	C9H13N5O13P3	C9H13N5O13P3	-3	c						
C04896	phosphoribosylformiminoaicar-phosphate	C15H21N5O15P2	C15H21N5O15P2	-4	c						
C04916	phosphoribulosylformimino-AICAR-phosphate	C15H22N5O15P2	C15H22N5O15P2	-3	c						
C05396	Lactose-6-phosphate	C12H21O14P	C12H21O14P	-2	c						
C05402	Melibiose	C12H22O11	C12H22O11	0	c						
C05402[e]	Melibiose	C12H22O11	C12H22O11	0	e						
C05404	Manninotriose	C18H32O16	C18H32O16	0	c						
C05512	Deoxyinosine	C10H12N4O4	C10H12N4O4	0	c						
C05512[e]	Deoxyinosine	C10H12N4O4	C10H12N4O4	0	e						
C06156	D-Glucosamine1-phosphate	C6H13NO8P	C6H13NO8P	-1	c						
C09332	THF-L-glutamate	C24H27N8O9	C24H27N8O9	-3	c						
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C6H9O4	C6H9O4	-1	c						
C14818	Fe2+	Fe	Fe	2	c						
C14818[e]	Fe2+	Fe	Fe	2	e						
C14899	3-keto-L-gulonate-6-phosphate	C6H8O10P	C6H8O10P	-3	c						
C00343	Oxidized thioredoxin	C6H7NO2R2S2	C6H7NO2R2S2	0	c						
C00342	Reduced thioredoxin	C6H9NO2R2S2	C6H9NO2R2S2	0	c						
C00641	"1,2-Diacyl-sn-glycerol"	C5H6O5R2	C5H6O5R2	0	c						
C05745	Butyryl-ACP	C15H27N2O8PRS	C15H27N2O8PRS	-1	c						
C05761	Myristoyl-ACP	C25H47N2O8PRS	C25H47N2O8PRS	-1	c						
C05223	Dodecanoyl-ACP	C23H43N2O8PRS	C23H43N2O8PRS	-1	c						
C05752	Octanoyl-ACP	C19H35N2O8PRS	C19H35N2O8PRS	-1	c						
C05749	Hexanoyl-ACP	C17H31N2O8PRS	C17H31N2O8PRS	-1	c						
C05755	Decanoyl-ACP	C21H39N2O8PRS	C21H39N2O8PRS	-1	c						
C05754	(2E)-Decenoyl-[acp]	C21H37N2O8PRS	C21H37N2O8PRS	-1	c						
C05764	hexadecanoyl-acp	C27H51N2O8PRS	C27H51N2O8PRS	-1	c						
C04618	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	C15H27N2O9PRS	C15H27N2O9PRS	-1	c						
C05747	D-3-Hydroxyhexanoyl-[acp]	C17H31N2O9PRS	C17H31N2O9PRS	-1	c						
C05757	D-3-Hydroxydodecanoyl-[acp]	C23H43N2O9PRS	C23H43N2O9PRS	-1	c						
C04633	R-3-hydroxypalmitoyl-acyl-carrierprotein-	C27H51N2O9PRS	C27H51N2O9PRS	-1	c						
C04619	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	C21H39N2O9PRS	-1	c						
C04620	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	C19H35N2O9PRS	-1	c						
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	C25H47N2O9PRS	-1	c						
C05762	3-oxohexadecanoyl-acp	C27H49N2O9PRS	C27H49N2O9PRS	-1	c						
C05746	3-Oxohexanoyl-[acp]	C17H29N2O9PRS	C17H29N2O9PRS	-1	c						
C05753	3-oxodecanoyl-acp	C21H37N2O9PRS	C21H37N2O9PRS	-1	c						
C05744	Acetoacetyl-ACP	C15H25N2O9PRS	C15H25N2O9PRS	-1	c						
C05756	3-oxododecanoyl-acp	C23H41N2O9PRS	C23H41N2O9PRS	-1	c						
C05750	3-oxooctanoyl-acp	C19H33N2O9PRS	C19H33N2O9PRS	-1	c						
C05759	3-oxotetradecanoyl-acp	C25H45N2O9PRS	C25H45N2O9PRS	-1	c						
C01209	Malonyl-acyl-carrierprotein-	C14H22N2O10PRS	C14H22N2O10PRS	-2	c						
C00229	Acyl-carrier protein	C11H21N2O7PRS	C11H21N2O7PRS	-1	c						
C00344	Phosphatidylglycerol	C8H12O10PR2	C8H12O10PR2	-1	c						
C00369(n=4)[e]	Starch	C24H42O21	C24H42O21	0	e						
C00369(n=5)[e]	Starch	C30H52O26	C30H52O26	0	e						
C00372(n=2)[e]	Dextran(n=2)	C12H22O11	C12H22O11	0	e						
C00372(n=3)[e]	Dextran(n=3)	C18H32O16	C18H32O16	0	e						
C00615	Protein histidine	C7H8N4O2R2	C7H8N4O2R2	0	c						
C00718(n=2)	Amylose(n=2)	C12H22O11	C12H22O11	0	c						
C00718(n=3)	Amylose(n=3)	C18H32O16	C18H32O16	0	c						
C00718(n=5)[e]	Amylose(n=5)	C30H52O26	C30H52O26	0	e						
C01935	Maltodextrin	C24H42O21	C24H42O21	0	c						
C01935[e]	Maltodextrin	C24H42O21	C24H42O21	0	e						
C03688	apo-ACP	HOR	HOR	0	c						
C04180	cis-3-Decenoyl-[acyl-carrier protein]	C21H37N2O8PRS	C21H37N2O8PRS	-1	c						
C04261	Protein N-pros-phosphohistidine	C7H7N4O5PR2	C7H7N4O5PR2	-2	c						
C06364	"1,2-Diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol"	C11H16O10R2	C11H16O10R2	0	c						
C06365	alpha-Kojibiosyldiacylglycerol	C17H26O15R2	C17H26O15R2	0	c						
C16186	L-Ascorbate 6-phosphate	C6H6O9P	C6H6O9P	-3	c						
C01355(n=2)[e]	Fructan	C12H22O11	C12H22O11	0	e						
C05401	Galactosylglycerol	C9H18O8	C9H18O8	0	c						
C05401[e]	Galactosylglycerol	C9H18O8	C9H18O8	0	e						
C05400	Epimelibiose	C12H22O11	C12H22O11	0	c						
C05400[e]	Epimelibiose	C12H22O11	C12H22O11	0	e						
C05399	Melibiitol	C12H24O11	C12H24O11	0	c						
C05399[e]	Melibiitol	C12H24O11	C12H24O11	0	e						
C01235	Galactinol	C12H22O11	C12H22O11	0	c						
C01235[e]	Galactinol	C12H22O11	C12H22O11	0	e						
C04246	But-2-enoyl-[acyl-carrier protein]	C15H25N2O8PRS	C15H25N2O8PRS	-1	c						
C05748	(2E)-Hexenoyl-[acp]	C17H29N2O8PRS	C17H29N2O8PRS	-1	c						
C05751	(2E)-Octenoyl-[acp]	C19H33N2O8PRS	C19H33N2O8PRS	-1	c						
C05758	(2E)-Dodecenoyl-[acp]	C23H41N2O8PRS	C23H41N2O8PRS	-1	c						
C02679	Dodecanoate	C12H23O2	C12H23O2	-1	c						
C16219	3-Oxostearoyl-[acp]	C29H53N2O9PRS	C29H53N2O9PRS	-1	c						
C16220	3-Hydroxystearoyl-[acp]	C29H55N2O9PRS	C29H55N2O9PRS	-1	c						
C05760	(2E)-Tetradecenoyl-[acp]	C25H45N2O8PRS	C25H45N2O8PRS	-1	c						
C05763	(2E)-Hexadecenoyl-[acp]	C27H49N2O8PRS	C27H49N2O8PRS	-1	c						
C16221	(2E)-Octadecenoyl-[acp]	C29H53N2O8PRS	C29H53N2O8PRS	-1	c						
C04088	Stearoyl-[acyl-carrier protein]	C29H55N2O8PRS	C29H55N2O8PRS	-1	c						
C00681	1-Acyl-sn-glycerol 3-phosphate	C4H6O7PR	C4H6O7PR	-2	c						
C00416	"1,2-diacyl-sn-glycerol 3-phosphate"	C5H6O8PR2	C5H6O8PR2	-1	c						
C20897	Glycerophosphoglycoglycerolipid	C20H32O20PR2	C20H32O20PR2	-1	c						
C00269	CDP-diacylglycerol	C14H17N3O15P2R2	C14H17N3O15P2R2	-2	c						
C03892	Phosphatidylglycerophosphate	C8H12O13P2R2	C8H12O13P2R2	-2	c						
C05980	Cardiolipin	C13H16O17P2R4	C13H16O17P2R4	-2	c						
C15667	5-phosphoribosyl-5-carboxyaminoimidazole	C9H12N3O9P	C9H12N3O9P	-2	c						
C20258	"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate"	C7H6NO5	C7H6NO5	-3	c						
C02430	L-Methionyl-tRNA	C15H22N6O4RS	C15H22N6O4RS	1	c						
C01647	tRNA(Met)	C10H12N5O3R	C10H12N5O3R	0	c						
C03294	N-Formylmethionyl-tRNA	C16H21N6O5RS	C16H21N6O5RS	0	c						
C00721(n=3)[e]	Dextrin(n=3)	C18H32O16	C18H32O16	0	e						
C00173	Acyl-ACP	C12H20N2O8PR2S	C12H20N2O8PR2S	-1	c						
C03539	S-Ribosylhomocysteine	C9H17NO6S	C9H17NO6S	0	c						
C11838	"(S)-4,5-Dihydroxypentane-2,3-dione"	C5H8O4	C5H8O4	0	c						
C00038	Zinc	Zn	Zn	2	c						
C00038[e]	Zinc	Zn	Zn	2	e						
C00250	Pyridoxal	C8H9NO3	C8H9NO3	0	c						
C00250[e]	Pyridoxal	C8H9NO3	C8H9NO3	0	e						
C00018	Pyridoxal phosphate	C8H8NO6P	C8H8NO6P	-2	c						
C00534	Pyridoxamine 	C8H13N2O2	C8H13N2O2	1	c						
C00534[e]	Pyridoxamine 	C8H13N2O2	C8H13N2O2	1	e						
C00647	Pyridoxamine phosphate	C8H12N2O5P	C8H12N2O5P	-1	c						
C00314	Pyridoxine	C8H11NO3	C8H11NO3	0	c						
C00314[e]	Pyridoxine	C8H11NO3	C8H11NO3	0	e						
C00627	Pyridoxine phosphate	C8H10NO6P	C8H10NO6P	-2	c						
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	C34H52N7O24P2	C34H52N7O24P2	-3	c						
C04702	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C40H62N9O26P2	C40H62N9O26P2	-3	c						
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol	C86H140N7O21P2	C86H140N7O21P2	-3	c						
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	C94H153N8O26P2	-3	c						
C00886	L-Alanyl-tRNA	C13H18N6O4R	C13H18N6O4R	1	c						
C01635	tRNA(Ala)	C10H12N5O3R	C10H12N5O3R	0	c						
C17550	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine	C97H158N9O27P2	C97H158N9O27P2	-3	c						
C17549	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine	C100H166N10O28P2	C100H163N10O28P2	-3	c						
C05896(LYS)	Lys-type peptidoglycan	C45H73N10O21	C45H73N10O21	-1	c						
C00149	L-Malate | (S)-Malate	C4H4O5	C4H4O5	-2	c						
C00149[e]	L-Malate | (S)-Malate	C4H4O5	C4H4O5	-2	e						
C00134	Putrescine	C4H14N2	C4H14N2	2	c						
C00134[e]	Putrescine	C4H14N2	C4H14N2	2	e						
C00491	L-Cystine	C6H12N2O4S2	C6H12N2O4S2	0	c						
C00491[e]	L-Cystine	C6H12N2O4S2	C6H12N2O4S2	0	e						
C00568	4-Aminobenzoate	C7H6NO2	C7H6NO2	-1	c						
C00568[e]	4-Aminobenzoate	C7H6NO2	C7H6NO2	-1	e						
C00143(polyglu)	"5,10-Methylenetetrahydrofolate-polyglutamate"	C30H33N9O12	C30H33N9O12	-4	c						
C05929	10-Formyltetrahydrofolylpolyglutamate|10-Formyl-THF-polyglutamate	C30H33N9O13	C30H33N9O13	-4	c						
C00445(polyglu)	" 5,10-methenyltetrahydrofolate polyglutamate"	C30H32N9O12	C30H32N9O12	-3	c						
C06113	L-Aspartyl-tRNA(Asn)	C14H23NO13PR2	C14H23NO13PR2	1	c						
C03402	L-Asparaginyl-tRNA(Asn)	C14H24N2O12PR2	C14H24N2O12PR2	1	c						
C01637	tRNA(Asn)	C10H17O10PR2	C10H17O10PR2	0	c						
C00704	Superoxide anion	O2	O2	-1	c						
C00704[e]	Superoxide anion	O2	O2	-1	e						
C00027	Hydrogen peroxide	H2O2	H2O2	0	c						
C00007	Oxygen	O2	O2	0	c						
C00007[e]	Oxygen	O2	O2	0	e						
C00138	Reduced ferredoxin	Fe2R4S6	Fe2R4S6	4	c						
C00139	Oxidized ferredoxin	Fe2R4S6	Fe2R4S6	6	c						
C04494	Guanosine 3'-diphosphate 5'-triphosphate	C10H12N5O20P5	C10H12N5O20P5	-6	c						
C00536	Triphosphate	HO10P3	HO10P3	-4	c						
C01330	Sodium (Na+)	Na	Na	1	c						
C01330[e]	Sodium (Na+)	Na	Na	1	e						
C00357	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	C8H14NO9P	-2	c						
C00088	Nitrite	NO2	NO2	-1	c						
C00088[e]	Nitrite	NO2	NO2	-1	e						
C00244	Nitrate	NO3	NO3	-1	c						
C00244[e]	Nitrate	NO3	NO3	-1	e						
C00178	Thymine	C5H6N2O2	C5H6N2O2	0	c						
C00178[e]	Thymine	C5H6N2O2	C5H6N2O2	0	e						
C00742	Fluoride	F	F	-1	c						
C00742[e]	Fluoride	F	F	-1	e						
C00748	Siroheme	C42H36FeN4O16	C42H36FeN4O16	-8	c						
C00785	Urocanate	C6H5N2O2	C6H5N2O2	-1	c						
C00931	Porphobilinogen	C10H13N2O4	C10H13N2O4	-1	c						
C00973	Cyclomaltodextrin	C24H40O20	C24H40O20	0	c						
C00973[e]	Cyclomaltodextrin	C24H40O20	C24H40O20	0	e						
C01024	Hydroxymethylbilane	C40H38N4O17	C40H38N4O17	-8	c						
C01051	Uroporphyrinogen III	C40H36N4O16	C40H36N4O16	-8	c						
C01233[e]	Glycerophosphoethanolamine	C5H14NO6P	C5H14NO6P	0	e						
C01236	"D-Glucono-1,5-lactone 6-phosphate"	C6H9O9P	C6H9O9P	-2	c						
C01241	Phosphatidyl-N-methylethanolamine	C8H13NO8PR2	C8H13NO8PR2	-1	c						
C01367	3'-AMP	C10H12N5O7P	C10H12N5O7P	-2	c						
C01368	3'-UMP	C9H11N2O9P	C9H11N2O9P	-2	c						
C01451[e]	Salicin	C13H18O7	C13H18O7	0	e						
C01641	tRNA(Glu)	C10H12N5O3R	C10H12N5O3R	0	c						
C02323	Salicyl alcohol	C7H8O2	C7H8O2	0	c						
C02353	"2',3'-Cyclic AMP"	C10H11N5O6P	C10H11N5O6P	-1	c						
C02353[e]	"2',3'-Cyclic AMP"	C10H11N5O6P	C10H11N5O6P	-1	e						
C02354	"2',3'-Cyclic CMP"	C9H11N3O7P	C9H11N3O7P	-1	c						
C02354[e]	"2',3'-Cyclic CMP"	C9H11N3O7P	C9H11N3O7P	-1	e						
C02355	"2',3'-Cyclic UMP"	C9H10N2O8P	C9H10N2O8P	-1	c						
C02355[e]	"2',3'-Cyclic UMP"	C9H10N2O8P	C9H10N2O8P	-1	e						
C02463	Precorrin 2	C42H41N4O16	C42H41N4O16	-7	c						
C02737	Phosphatidylserine	C8H10NO10PR2	C8H10NO10PR2	-2	c						
C02987	L-Glutamyl-tRNA(Glu)	C15H19N6O6R	C15H19N6O6R	0	c						
C03044	"(R,R)-2,3-Butanediol"	C4H10O2	C4H10O2	0	c						
C03114	Dimethylbenzimidazole	C9H10N2	C9H10N2	0	c						
C03680	4-Imidazolone-5-propanoate	C6H6N2O3	C6H6N2O3	-2	c						
C03741	L-Glutamate 1-semialdehyde	C5H9NO3	C5H9NO3	0	c						
C04122	D-1-Aminopropan-2-ol O-phosphate	C3H9NO4P	C3H9NO4P	-1	c						
C04257	N-Acetyl-D-mannosamine 6-phosphate	C8H14NO9P	C8H14NO9P	-2	c						
C04778	alpha-Ribazole 5'-phosphate	C14H17N2O7P	C14H17N2O7P	-2	c						
C05773	Cobyrinate	C45H52CoN4O14	C45H52CoN4O14	-6	c						
C05774	Cobinamide	C48H72CoN11O8	C48H72CoN11O8	0	c						
C05774[e]	Cobinamide	C48H72CoN11O8	C48H72CoN11O8	0	e						
C05775	alpha-Ribazole	C14H18N2O4	C14H18N2O4	0	c						
C05778	Sirohydrochlorin	C42H38N4O16	C42H38N4O16	-8	c						
C05822	3'-CMP	C9H12N3O8P	C9H12N3O8P	-2	c						
C06186[e]	Arbutin	C12H16O7	C12H16O7	0	e						
C06187	Arbutin 6-phosphate	C12H15O10P	C12H15O10P	-2	c						
C06188	Salicin 6-phosphate	C13H17O10P	C13H17O10P	-2	c						
C06193	Guanosine 3'-phosphate	C10H12N5O8P	C10H12N5O8P	-2	c						
C06194	"2',3'-Cyclic GMP"	C10H11N5O7P	C10H11N5O7P	-1	c						
C06194[e]	"2',3'-Cyclic GMP"	C10H11N5O7P	C10H11N5O7P	-1	e						
C06504	Cob(II)yrinate diamide	C45H56CoN6O12	C45H56CoN6O12	-4	c						
C06505	Cob(I)yrinate diamide	C45H56CoN6O12	C45H56CoN6O12	-5	c						
C06506	Adenosyl cobyrinate diamide	C55H68CoN11O15	C55H68CoN11O15	-4	c						
C06507	Adenosyl cobyrinate hexaamide	C55H76CoN15O11	C55H76CoN15O11	0	c						
C06508	Adenosyl cobinamide	C58H84CoN16O11	C58H84CoN16O11	1	c						
C06509	Adenosyl cobinamide phosphate	C58H83CoN16O14P	C58H83CoN16O14P	-1	c						
C06510	Adenosine-GDP-cobinamide	C68H95CoN21O21P2	C68H95CoN21O21P2	-1	c						
C06697	Arsenite	H2AsO3	H2AsO3	-1	c						
C06697[e]	Arsenite	H2AsO3	H2AsO3	-1	e						
C11215	Arsenate	HAsO4	HAsO4	-2	c						
C11215[e]	Arsenate	HAsO4	HAsO4	-2	e						
C11355	4-Amino-4-deoxychorismate	C10H10NO5	C10H10NO5	-1	c						
C11538	Cobalt-sirohydrochlorin	C42H36CoN4O16	C42H36CoN4O16	-8	c						
C11539	Cobalt-precorrin 3	C43H41CoN4O16	C43H41CoN4O16	-7	c						
C11540	Cobalt-precorrin 4	C44H43CoN4O16	C44H43CoN4O16	-7	c						
C11542	Cobalt-precorrin 6	C44H45CoN4O16	C44H45CoN4O16	-7	c						
C11543	Cobalt-precorrin 6B	C44H48CoN4O16	C44H48CoN4O16	-6	c						
C11545	Cobalt-precorrin 8	C45H53CoN4O14	C45H53CoN4O14	-5	c						
C12147	L-Threonine phosphate	C4H8NO6P	C4H8NO6P	-2	c						
C14819	Fe3+	Fe	Fe	3	c						
C16242	Cobalt-precorrin 5A	C45H45CoN4O16	C45H45CoN4O16	-7	c						
C16243	Cobalt-precorrin 5B	C43H43CoN4O16	C43H43CoN4O16	-7	c						
C16244	Cobalt-precorrin 7	C44H51CoN4O14	C44H51CoN4O14	-5	c						
C17401	Cobalt-factor III	C43H38CoN4O16	C43H38CoN4O16	-8	c						
C05796(n=2)	Galactan(n=2)	C12H22O11	C12H22O11	0	c						
C05796(n=2)[e]	Galactan(n=2)	C12H22O11	C12H22O11	0	e						
C00856	DNA cytosine	C19H27N3O17P3R2	C19H27N3O17P3R2	-3	c						
C02967	DNA 5-methylcytosine	C20H29N3O17P3R2	C20H29N3O17P3R2	-3	c						
C02133	Acyl phosphate	CHO5PR	CHO5PR	-1	c						
cpd33930	Dialurate	C4H3N2O4	C4H3N2O4	-1	c						
C15998	L-Methionine (R)-S-oxide	C5H11NO3S	C5H11NO3S	0	c						
C00469	Ethanol	C2H6O	C2H6O	0	c						
C00469[e]	Ethanol	C2H6O	C2H6O	0	e						
